2020-03-06T19:38:56.394+0800	info	DefaultLogger init success
2020-03-06T19:38:56.422+0800	info	test log 0	{"line": 47}
2020-03-06T19:38:56.422+0800	debug	debug log 0	{"level": "{\"name\":\"xiaoming\",\"age\":12}"}
2020-03-06T19:38:56.422+0800	info	Info log 0	{"level": "{\"a\":\"4\",\"b\":\"5\"}"}
2020-03-06T19:38:56.422+0800	warn	Info log 0	{"level": "{\"a\":\"7\",\"b\":\"8\"}"}
2020-03-06T19:38:56.422+0800	info	test log 1	{"line": 47}
2020-03-06T19:38:56.422+0800	debug	debug log 1	{"level": "{\"name\":\"xiaoming\",\"age\":12}"}
2020-03-06T19:38:56.422+0800	info	Info log 1	{"level": "{\"a\":\"4\",\"b\":\"5\"}"}
2020-03-06T19:38:56.422+0800	warn	Info log 1	{"level": "{\"a\":\"7\",\"b\":\"8\"}"}
2020-03-06T19:38:56.422+0800	info	test log 2	{"line": 47}
2020-03-06T19:38:56.423+0800	debug	debug log 2	{"level": "{\"name\":\"xiaoming\",\"age\":12}"}
2020-03-06T19:38:56.423+0800	info	Info log 2	{"level": "{\"a\":\"4\",\"b\":\"5\"}"}
2020-03-06T19:38:56.423+0800	warn	Info log 2	{"level": "{\"a\":\"7\",\"b\":\"8\"}"}
2020-03-06T19:38:56.423+0800	info	test log 3	{"line": 47}
2020-03-06T19:38:56.423+0800	debug	debug log 3	{"level": "{\"name\":\"xiaoming\",\"age\":12}"}
2020-03-06T19:38:56.423+0800	info	Info log 3	{"level": "{\"a\":\"4\",\"b\":\"5\"}"}
2020-03-06T19:38:56.423+0800	warn	Info log 3	{"level": "{\"a\":\"7\",\"b\":\"8\"}"}
2020-03-06T19:38:56.423+0800	info	test log 4	{"line": 47}
2020-03-06T19:38:56.423+0800	debug	debug log 4	{"level": "{\"name\":\"xiaoming\",\"age\":12}"}
2020-03-06T19:38:56.423+0800	info	Info log 4	{"level": "{\"a\":\"4\",\"b\":\"5\"}"}
2020-03-06T19:38:56.423+0800	warn	Info log 4	{"level": "{\"a\":\"7\",\"b\":\"8\"}"}
2020-03-06T19:38:56.423+0800	info	test log 5	{"line": 47}
2020-03-06T19:38:56.423+0800	debug	debug log 5	{"level": "{\"name\":\"xiaoming\",\"age\":12}"}
2020-03-06T19:38:56.423+0800	info	Info log 5	{"level": "{\"a\":\"4\",\"b\":\"5\"}"}
2020-03-06T19:38:56.423+0800	warn	Info log 5	{"level": "{\"a\":\"7\",\"b\":\"8\"}"}
2020-03-06T20:05:11.011+0800	info	DefaultLogger init success
2020-03-06T20:05:11.041+0800	info	test log 0	{"line": 47}
2020-03-06T20:05:11.041+0800	debug	debug log 0	{"level": "{\"name\":\"xiaoming\",\"age\":12}"}
2020-03-06T20:05:11.041+0800	info	Info log 0	{"level": "{\"a\":\"4\",\"b\":\"5\"}"}
2020-03-06T20:05:11.041+0800	warn	Info log 0	{"level": "{\"a\":\"7\",\"b\":\"8\"}"}
2020-03-06T20:05:11.041+0800	info	test log 1	{"line": 47}
2020-03-06T20:05:11.041+0800	debug	debug log 1	{"level": "{\"name\":\"xiaoming\",\"age\":12}"}
2020-03-06T20:05:11.041+0800	info	Info log 1	{"level": "{\"a\":\"4\",\"b\":\"5\"}"}
2020-03-06T20:05:11.041+0800	warn	Info log 1	{"level": "{\"a\":\"7\",\"b\":\"8\"}"}
2020-03-06T20:05:11.041+0800	info	test log 2	{"line": 47}
2020-03-06T20:05:11.041+0800	debug	debug log 2	{"level": "{\"name\":\"xiaoming\",\"age\":12}"}
2020-03-06T20:05:11.041+0800	info	Info log 2	{"level": "{\"a\":\"4\",\"b\":\"5\"}"}
2020-03-06T20:05:11.041+0800	warn	Info log 2	{"level": "{\"a\":\"7\",\"b\":\"8\"}"}
2020-03-06T20:05:11.041+0800	info	test log 3	{"line": 47}
2020-03-06T20:05:11.041+0800	debug	debug log 3	{"level": "{\"name\":\"xiaoming\",\"age\":12}"}
2020-03-06T20:05:11.041+0800	info	Info log 3	{"level": "{\"a\":\"4\",\"b\":\"5\"}"}
2020-03-06T20:05:11.041+0800	warn	Info log 3	{"level": "{\"a\":\"7\",\"b\":\"8\"}"}
2020-03-06T20:05:11.041+0800	info	test log 4	{"line": 47}
2020-03-06T20:05:11.041+0800	debug	debug log 4	{"level": "{\"name\":\"xiaoming\",\"age\":12}"}
2020-03-06T20:05:11.041+0800	info	Info log 4	{"level": "{\"a\":\"4\",\"b\":\"5\"}"}
2020-03-06T20:05:11.041+0800	warn	Info log 4	{"level": "{\"a\":\"7\",\"b\":\"8\"}"}
2020-03-06T20:05:11.041+0800	info	test log 5	{"line": 47}
2020-03-06T20:05:11.041+0800	debug	debug log 5	{"level": "{\"name\":\"xiaoming\",\"age\":12}"}
2020-03-06T20:05:11.042+0800	info	Info log 5	{"level": "{\"a\":\"4\",\"b\":\"5\"}"}
2020-03-06T20:05:11.042+0800	warn	Info log 5	{"level": "{\"a\":\"7\",\"b\":\"8\"}"}
